mm/dd/yyyy hh:mm, year, month, day, hour, min, HFC-134a, flag, HCFC-22, flag, HCFC-141b, flag, HCFC-142b, flag, CH3Cl, flag, CH3Br, flag, H-1211, flag, H-1301, flag, HFC-152a, flag, CH2Cl2, flag, TCE, flag, PCE, flag, CFC-113, flag, CH3CCl3, flag, CHCl3, flag, SF6, flag, HFC-365mfc, flag, SO2F2, flag, HFC-125, flag, HFC-23, flag, PFC-116, flag, PFC-218, flag, PFC-14, flag, HFC-227ea, flag, HFC-245fa, flag, HFC-236fa, flag, CFC-115, flag, CFC-114, flag, HFC4310mee, flag, NF3, flag, CFC-11, flag, CFC-12, flag, CCl4, flag, HFC-32, flag, HFC-143a, flag, H-2402, flag, CFC-13, flag
10/13/1994 23:54,1994,10,13,23,54,9.303, P, , , , ,36.356, P, , , , ,6.18, P, , ,2.752, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/14/1994 05:58,1994,10,14,5,58,7.622, P, , , , ,33.776, P, , , , ,5.18, P, , ,3.143, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/14/1994 11:59,1994,10,14,11,59,5.771, P, , , , ,31.127, P, , , , ,4.16, P, , ,2.65, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/14/1994 18:07,1994,10,14,18,7, , , , , , , , , , , , , , , , , , , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/15/1994 00:01,1994,10,15,0,1,5.174, P, , , , ,21.327, P, , , , ,4.62, P, , ,2.27, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/15/1994 06:06,1994,10,15,6,6,4.856, P, , , , ,18.188, P, , , , ,5.13, P, , ,2.208, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/15/1994 12:09,1994,10,15,12,9, , , , , , , , , , , , , , , , , , , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/15/1994 23:04,1994,10,15,23,4,4.537, P, , , , ,17.069, P, , , , ,4.06, P, , ,1.725, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/16/1994 05:08,1994,10,16,5,8,6.348, P, , , , ,17.148, P, , , , ,5.79, P, , ,1.705, P, , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
10/16/1994 22:24,1994,10,16,22,24,2, P, , , , ,9.535, P, , , , ,3.36, , , ,1.15, , , , , , , ,-99.99, ,-99.99, , , ,-99.99, , , ,-99.99, , , ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, ,-99.99, 
