"date"	"sum"	"country"
"1"	"1668/7/25 "	606	"CHINA"
"2"	"2011/3/11 "	406	"JAPAN"
"3"	"2004/12/26 "	394	"INDONESIA"
"4"	"856/12/22 "	380	"IRAN"
"5"	"1916/1/24 1912/8/9 "	329	"TURKEY"
"6"	"1915/1/13 "	326	"ITALY"
"7"	"1964/3/28 "	268	"USA"
"8"	"1303/8/8 365/7/21 "	264	"GREECE"
"9"	"1897/9/21 "	220	"PHILIPPINES"
"10"	"1899/1/24 "	203	"MEXICO"
"11"	"1960/5/22 "	197	"CHILE"
"12"	"1716/2/6 "	184	"PERU"
"13"	"1952/11/4 "	150	"RUSSIA"
"14"	"1950/8/15 "	98	"INDIA"
"15"	"1919/5/6 "	98	"PAPUA NEW GUINEA"
"16"	"1966/3/12 1920/6/5 "	96	"TAIWAN"
"17"	"1826/6/18 "	79	"COLOMBIA"
"18"	"1855/1/23 1826/NA/NA "	67	"NEW ZEALAND"
"19"	"1900/10/29 "	66	"VENEZUELA"
"20"	"1906/1/31 "	64	"ECUADOR"
"21"	"2007/4/1 1977/4/21 "	61	"SOLOMON ISLANDS"
"22"	"1909/7/7 "	59	"AFGHANISTAN"
"23"	"1893/6/14 "	56	"ALBANIA"
"24"	"1980/10/10 "	56	"ALGERIA"
"25"	"1913/10/14 "	54	"VANUATU"
"26"	"1945/11/27 "	52	"PAKISTAN"
"27"	"1667/4/6 "	48	"CROATIA"
"28"	"1817/3/11 "	43	"FRANCE"
"29"	"1902/9/22 "	40	"USA TERRITORY"
"30"	"1898/4/29 "	39	"NICARAGUA"
"31"	"1942/8/6 "	38	"GUATEMALA"
"32"	"1915/9/7 "	38	"EL SALVADOR"
"33"	"1950/10/5 "	34	"COSTA RICA"
"34"	"1202/5/20 "	33	"SYRIA"
"35"	"1912/5/23 "	33	"MYANMAR (BURMA)"
"36"	"1601/9/8 "	31	"SWITZERLAND"
"37"	"881/5/26 "	27	"SPAIN"
"38"	"1968/2/28 "	26	"AZORES (PORTUGAL)"
"39"	"1864/12/2 "	24	"IRAQ"
"40"	"1949/7/10 1911/2/18 1907/10/21 "	24	"TAJIKISTAN"
"41"	"1546/1/14 746/1/18 -31/9/2 "	23	"ISRAEL"
"42"	"1761/3/30 1755/11/1 "	23	"PORTUGAL"
"43"	"1882/9/7 "	23	"PANAMA"
"44"	"1989/5/23 "	23	"AUSTRALIA"
"45"	"1511/3/26 "	22	"SLOVENIA"
"46"	"1919/4/30 "	22	"TONGA"
"47"	"1700/9/12 1649/12/9 1643/7/25 "	20	"SOUTH KOREA"
"48"	"2004/2/24 "	20	"MOROCCO"
"49"	"1949/8/22 "	20	"CANADA"
"50"	"1944/1/15 "	20	"ARGENTINA"
"51"	"1875/3/28 "	20	"NEW CALEDONIA"
"52"	"1899/6/14 "	19	"JAMAICA"
"53"	"1919/1/1 "	19	"FIJI"
"54"	"1904/4/4 "	18	"BULGARIA"
"55"	"1946/8/4 "	18	"DOMINICAN REPUBLIC"
"56"	"1912/5/6 "	17	"ICELAND"
"57"	"1918/7/8 "	17	"BANGLADESH"
"58"	"1986/10/20 "	17	"KERMADEC ISLANDS (NEW ZEALAND)"
"59"	"1902/2/13 1667/11/NA "	16	"AZERBAIJAN"
"60"	"1505/6/6 "	16	"NEPAL"
"61"	"1842/5/7 "	16	"HAITI"
"62"	"1995/11/22 "	15	"EGYPT"
"63"	"1905/10/21 "	15	"GEORGIA"
"64"	"1922/3/24 "	15	"SERBIA"
"65"	"1977/3/4 "	15	"ROMANIA"
"66"	"551/7/9 "	14	"LEBANON"
"67"	"1946/11/2 "	14	"KYRGYZSTAN"
"68"	"1984/3/19 1976/5/17 1976/4/8 "	14	"UZBEKISTAN"
"69"	"2020/1/28 "	14	"CUBA"
"70"	"1942/11/10 "	14	"SOUTH AFRICA"
"71"	"1988/12/7 "	13	"ARMENIA"
"72"	"1580/4/6 "	13	"UK"
"73"	"1906/8/25 "	13	"ETHIOPIA"
"74"	"1979/5/24 "	12	"MACEDONIA"
"75"	"2018/1/10 1910/1/1 1856/8/4 "	12	"HONDURAS"
"76"	"1895/7/8 "	11	"TURKMENISTAN"
"77"	"1889/7/11 "	10	"KAZAKHSTAN"
"78"	"1982/12/13 "	10	"YEMEN"
"79"	"1969/10/27 "	10	"BOSNIA-HERZEGOVINA"
"80"	"1906/12/3 "	10	"MARTINIQUE"
"81"	"1957/2/20 "	9	"TUNISIA"
"82"	"1978/9/3 "	9	"GERMANY"
"83"	"1979/4/15 "	9	"MONTENEGRO"
"84"	"1843/2/8 "	9	"GUADELOUPE"
"85"	"1927/9/11 "	8	"UKRAINE"
"86"	"1888/1/10 "	8	"TRINIDAD AND TOBAGO"
"87"	"1917/6/26 "	8	"SAMOA"
"88"	"1590/9/15 "	7	"AUSTRIA"
"89"	"1953/9/10 "	6	"CYPRUS"
"90"	"1518/7/2 "	6	"NORTH KOREA"
"91"	"1992/9/11 "	6	"CONGO"
"92"	"1994/6/9 "	6	"BOLIVIA"
"93"	"1905/7/23 1905/7/9 "	6	"MONGOLIA"
