	Nebula	Velocity	Distance
1	S. Mag.	170	0.032
2	L. Mag.	290	0.034
3	NGC 6822	-130	0.214
4	NGC 598	-70	0.263
5	NGC 221	-185	0.275
6	NGC 224	-220	0.275
7	NGC 5457	200	0.450
8	NGC 4736	290	0.500
9	NGC 5194	270	0.500
10	NGC 4449	200	0.630
11	NGC 4214	300	0.800
12	NGC 3031	-30	0.900
13	NGC 3627	650	0.900
14	NGC 4626	150	0.900
15	NGC 5236	500	0.900
16	NGC 1068	920	1.000
17	NGC 5055	450	1.100
18	NGC 7331	500	1.100
19	NGC 4258	500	1.400
20	NGC 4151	960	1.700
21	NGC 4382	500	2.000
22	NGC 4472	850	2.000
23	NGC 4486	800	2.000
24	NGC 4649	1090	2.000
