A8MUM7	Q9NY25	Q9UPC5	Q9H3S1	Q9NRD8	O60613	P15151	P02746	Q16363	Q9HBB8	A0A0G2JS06	Q99944	P17936	P08174	Q96A25	P34741	P05156	P04216	P21741	P08195	O43493	P08637	P02655	A4QPB2	A0A0C4DH55	P02652	P22079	P10619	Q5VY80	O75015	Q9Y5Q5	P16112	Q8NHL6	Q15165	P07478	Q13361	Q15195	O60462	Q6Q8B3	Q6H3X3	Q14031	Q02325	A6NKQ9	Q9NWF4	Q8IYS5	Q99102	Q2VPA4	P30511	Q07001	P15692	P40198	P48664	P28067	label
22.78103	24.33838	24.81043	24.06058	23.72325	28.39541	29.56104	28.73933	34.70019	23.83119	23.98209	22.30125	25.30247	29.07883	24.31657	28.69823	32.60749	32.04179	23.80293	31.90993	30.04245	28.86181	25.36435	23.32118	27.63938	26.8735	31.42189	30.69736	23.281	24.91738	21.73218	27.69915	25.95014	30.22961	36.91518	30.94769	32.94473	25.58456	25.36032	24.03061	22.52981	32.94473	23.57969	25.13988	23.61991	22.55794	25.21239	27.50434	28.04062	28.16499	26.21115	24.26821	26.89463	Normal
25.63755	28.1149	28.58285	23.68414	25.11686	28.53624	28.57156	29.20803	34.08132	25.66653	23.21087	24.64466	23.67074	30.95693	21.55645	24.26853	32.82383	33.773	24.40054	31.33055	27.88095	30.837	25.17189	23.03898	29.08152	24.32025	33.50653	30.14822	22.40375	27.00967	21.77391	25.29905	26.68089	29.67007	34.78726	33.40939	34.16763	27.07765	26.0498	23.54391	30.91287	34.16763	22.90845	24.03049	26.12818	23.93427	27.17974	28.249	25.72684	28.47668	27.88445	23.32266	29.54692	Normal
27.55324	22.45851	23.73007	24.1173	24.35411	23.63548	26.02989	28.13465	32.52659	22.41372	23.25318	23.85425	23.07016	30.94921	22.7388	24.80966	33.00344	31.58218	24.55634	29.58803	26.0643	28.87504	26.11782	23.0475	28.38511	28.56836	31.35164	29.25007	23.7018	24.89222	22.81455	23.21298	25.01771	26.81455	36.10968	32.12627	33.61192	23.18536	23.64745	24.26105	23.3305	33.61192	25.36297	26.02022	22.44214	22.03024	23.77571	22.63537	24.91046	25.9718	24.3982	24.69821	22.58854	Normal
27.12378	22.37451	25.6597	24.89041	21.27555	28.33242	28.88327	30.04282	33.80944	27.22519	23.2332	22.54037	28.38107	29.5135	23.39825	27.23908	32.30665	32.04825	26.01919	31.41881	28.93036	30.19479	24.54208	23.69598	28.87432	25.8583	31.18924	29.34636	23.5797	25.38113	21.77118	22.23068	27.40288	30.97988	30.41332	31.66082	33.02161	27.76839	25.32682	24.27062	28.1413	33.02161	24.9511	26.0884	24.0285	23.56276	26.28811	30.48501	28.38312	26.36678	27.11549	20.29356	27.3548	Normal
27.17735	24.09093	26.10255	23.21269	24.94279	27.5718	29.01664	28.42221	33.5603	23.22511	24.11712	24.09481	27.42648	30.32983	23.24195	23.2968	31.969	32.71417	22.83824	30.18544	28.71965	27.68393	23.47584	24.90142	28.59232	26.97892	32.01104	29.19148	23.35165	25.84119	23.2979	26.68501	22.43768	28.60458	35.03732	32.86832	33.69095	25.31345	23.02004	23.15192	30.61061	33.69095	25.20954	25.84259	22.98248	24.15075	22.60905	24.79114	25.90233	26.39116	27.37232	23.49252	24.05488	Normal
27.38791	28.27208	27.17122	25.88064	29.22762	29.43099	29.23973	30.32447	35.12125	26.88545	24.35145	22.83484	28.08179	31.90683	23.56352	26.47565	33.85833	34.10534	25.21298	32.39825	29.23742	31.80244	26.04243	23.97657	29.86348	28.23787	35.98024	30.11674	23.01181	29.38575	23.13259	25.94417	29.00706	30.73575	34.04194	32.42474	34.65197	28.9204	26.30791	24.57403	27.2895	34.65197	22.31837	25.25585	25.79693	22.36817	28.83923	29.57841	27.87233	28.53505	29.09136	23.57442	30.87259	Normal
26.62881	23.40219	24.26389	22.40406	23.85824	23.34706	23.72946	28.64579	31.84914	24.28926	22.06601	23.43563	24.55343	30.38042	22.11646	24.21597	32.5334	27.90221	25.50874	30.17492	24.49353	25.43129	24.64101	24.67861	28.6803	23.93769	31.52365	28.42473	24.70021	23.36818	23.79049	24.21843	24.09838	23.24273	36.29469	33.17958	33.26362	23.97781	21.88434	23.49797	24.60759	33.26362	23.6214	24.40659	24.46217	23.41215	22.35959	25.84244	24.99803	25.64017	27.43859	25.24967	23.85736	Normal
26.26412	23.46893	22.94441	22.95883	23.71235	23.40719	27.77237	27.9525	33.63924	25.30451	24.32256	22.9989	26.8038	29.97489	23.69545	24.81715	33.57919	31.99144	24.19189	30.73128	25.70111	29.48347	25.88633	23.15197	28.65107	27.70839	32.23359	26.62872	23.3277	25.58472	24.51942	25.91829	22.11422	30.27506	35.92633	31.30286	34.83905	23.69156	23.65104	24.19218	23.28442	34.83905	25.16037	23.28569	23.60993	24.07927	22.30831	26.45345	23.6818	24.43392	27.41434	23.81035	22.4659	Normal
23.27046	25.16912	24.2075	23.84494	25.54443	24.91345	27.39873	27.65414	32.91018	25.62511	23.04594	23.4259	24.82509	30.53798	24.83024	24.39489	33.32935	32.38977	24.35378	30.19847	24.65366	29.20319	23.20934	22.4224	27.7807	23.71713	31.6667	26.64564	24.65331	24.80833	24.64947	23.2757	26.31931	27.64487	35.66307	32.77873	33.53194	24.72494	23.58673	22.74117	27.26254	33.53194	24.34126	26.18643	24.30981	22.85394	23.52971	22.9772	27.38141	26.23954	29.0208	24.81622	24.33847	Normal
24.12336	23.47357	24.66364	23.24985	23.3385	29.6906	29.08419	28.29474	34.45372	23.37579	23.93997	22.16069	27.39744	29.5093	23.62584	28.62429	32.36781	31.99822	23.01992	31.38015	28.68312	28.22056	24.86128	24.35484	27.63747	26.1639	30.94441	30.51308	23.37748	22.3212	23.5372	25.50037	26.09138	30.08205	36.44585	30.78085	33.37054	23.71636	25.53136	23.77844	23.55624	33.37054	22.61513	25.25997	22.50174	23.68917	24.66696	26.90386	28.18345	25.80213	26.94982	24.14799	27.30493	Normal
